user_country,friend_country,user_region,friend_region,scaled_sci
NI,BS,NI,BS,2066
BS,NI,BS,NI,2066
LK,DJ,LK,DJ,2771
DJ,LK,DJ,LK,2771
LB,DJ,LB,DJ,7631
DJ,LB,DJ,LB,7631
UA,SB,UA,SB,151
SB,UA,SB,UA,151
SV,GT,SV,GT,76012
GT,SV,GT,SV,76012
RS,PY,RS,PY,461
PY,RS,PY,RS,461
SS,MK,SS,MK,217
MK,SS,MK,SS,217
CF,BB,CF,BB,964
BB,CF,BB,CF,964
TT,TD,TT,TD,432
TD,TT,TD,TT,432
KG,CF,KG,CF,549
CF,KG,CF,KG,549
TG,MG,TG,MG,14743
MG,TG,MG,TG,14743
MY,GY,MY,GY,1051
GY,MY,GY,MY,1051
LY,GY,LY,GY,433
GY,LY,GY,LY,433
PY,CZ,PY,CZ,396
CZ,PY,CZ,PY,396
MA,CZ,MA,CZ,726
CZ,MA,CZ,MA,726
YE,GW,YE,GW,2534
GW,YE,GW,YE,2534
RS,RS,RS,RS,18503462
PH,KM,PH,KM,228
KM,PH,KM,PH,228
SN,GE,SN,GE,320
GE,SN,GE,SN,320
ST,IE,ST,IE,3303
IE,ST,IE,ST,3303
DE,AL,DE,AL,65250
AL,DE,AL,DE,65250
PH,CL,PH,CL,343
CL,PH,CL,PH,343
MG,LT,MG,LT,356
LT,MG,LT,MG,356
PA,CR,PA,CR,175018
CR,PA,CR,PA,175018
TN,AU,TN,AU,570
AU,TN,AU,TN,570
SB,BW,SB,BW,965
BW,SB,BW,SB,965
MZ,HU,MZ,HU,172
HU,MZ,HU,MZ,172
VU,MD,VU,MD,11
MD,VU,MD,VU,11
MV,AZ,MV,AZ,2881
AZ,MV,AZ,MV,2881
ES,AZ,ES,AZ,1404
AZ,ES,AZ,ES,1404
HT,AT,HT,AT,286
AT,HT,AT,HT,286
MU,MM,MU,MM,348
MM,MU,MM,MU,348
BW,BO,BW,BO,147
BO,BW,BO,BW,147
RU,DO,RU,DO,3789
DO,RU,DO,RU,3789
PT,BH,PT,BH,10415
BH,PT,BH,PT,10415
MV,LY,MV,LY,4049
LY,MV,LY,MV,4049
SG,GN,SG,GN,337
GN,SG,GN,SG,337
PA,GH,PA,GH,1192
GH,PA,GH,PA,1192
GH,CI,GH,CI,45533
CI,GH,CI,GH,45533
RO,CI,RO,CI,640
CI,RO,CI,RO,640
SD,SA,SD,SA,202050
SA,SD,SA,SD,202050
SE,KE,SE,KE,3766
KE,SE,KE,SE,3766
SK,HR,SK,HR,17350
HR,SK,HR,SK,17350
UZ,HR,UZ,HR,5445
HR,UZ,HR,UZ,5445
QA,AE,QA,AE,414476
AE,QA,AE,QA,414476
VC,TW,VC,TW,12187
TW,VC,TW,VC,12187
NI,ME,NI,ME,283
ME,NI,ME,NI,283
TL,FR,TL,FR,217
FR,TL,FR,TL,217
PH,MT,PH,MT,30979
MT,PH,MT,PH,30979
US,BD,US,BD,1296
BD,US,BD,US,1296
RO,ES,RO,ES,54179
ES,RO,ES,RO,54179
TW,TJ,TW,TJ,289
TJ,TW,TJ,TW,289
EE,AO,EE,AO,137
AO,EE,AO,EE,137
SN,IN,SN,IN,800
IN,SN,IN,SN,800
LR,EC,LR,EC,392
EC,LR,EC,LR,392
SI,QA,SI,QA,4481
QA,SI,QA,SI,4481
DO,CV,DO,CV,2903
CV,DO,CV,DO,2903
VN,MU,VN,MU,278
MU,VN,MU,VN,278
IS,BB,IS,BB,2810
BB,IS,BB,IS,2810
HN,BB,HN,BB,1349
BB,HN,BB,HN,1349
VE,JO,VE,JO,587
JO,VE,JO,VE,587
IQ,CZ,IQ,CZ,310
CZ,IQ,CZ,IQ,310
TZ,ML,TZ,ML,25013
ML,TZ,ML,TZ,25013
PA,CG,PA,CG,787
CG,PA,CG,PA,787
MM,ET,MM,ET,690
ET,MM,ET,MM,690
TO,ET,TO,ET,613
ET,TO,ET,TO,613
VC,KG,VC,KG,321
KG,VC,KG,VC,321
TN,GW,TN,GW,3879
GW,TN,GW,TN,3879
VN,KM,VN,KM,200
KM,VN,KM,VN,200
GB,AL,GB,AL,33710
AL,GB,AL,GB,33710
SD,NO,SD,NO,2194
NO,SD,NO,SD,2194
ID,CR,ID,CR,1010
CR,ID,CR,ID,1010
RO,MW,RO,MW,205
MW,RO,MW,RO,205
GQ,AU,GQ,AU,681
AU,GQ,AU,GQ,681
VN,MD,VN,MD,79
MD,VN,MD,VN,79
NP,MR,NP,MR,325
MR,NP,MR,NP,325
VN,GR,VN,GR,337
GR,VN,GR,VN,337
ID,DE,ID,DE,717
DE,ID,DE,ID,717
TN,AT,TN,AT,7854
AT,TN,AT,TN,7854
NP,BF,NP,BF,302
BF,NP,BF,NP,302
YE,BO,YE,BO,829
BO,YE,BO,YE,829
PH,BO,PH,BO,797
BO,PH,BO,PH,797
SL,BJ,SL,BJ,23314
BJ,SL,BJ,SL,23314
KG,GH,KG,GH,1533
GH,KG,GH,KG,1533
HU,BI,HU,BI,384
BI,HU,BI,HU,384
UG,CM,UG,CM,14437
CM,UG,CM,UG,14437
VN,PT,VN,PT,264
PT,VN,PT,VN,264
LS,KR,LS,KR,436
KR,LS,KR,LS,436
US,KR,US,KR,4623
KR,US,KR,US,4623
GW,BY,GW,BY,2791
BY,GW,BY,GW,2791
SN,LK,SN,LK,663
LK,SN,LK,SN,663
SN,GA,SN,GA,421020
GA,SN,GA,SN,421020
VC,AF,VC,AF,410
AF,VC,AF,VC,410
PE,KZ,PE,KZ,1360
KZ,PE,KZ,PE,1360
MG,CD,MG,CD,15473
CD,MG,CD,MG,15473
PE,NZ,PE,NZ,902
NZ,PE,NZ,PE,902
UA,PE,UA,PE,640
PE,UA,PE,UA,640
SS,SA,SS,SA,22498
SA,SS,SA,SS,22498
US,OM,US,OM,2135
OM,US,OM,US,2135
ME,DZ,ME,DZ,799
DZ,ME,DZ,ME,799
MT,DZ,MT,DZ,1361
DZ,MT,DZ,MT,1361
SE,BD,SE,BD,1542
BD,SE,BD,SE,1542
MX,ES,MX,ES,5258
ES,MX,ES,MX,5258
DZ,CH,DZ,CH,2180
CH,DZ,CH,DZ,2180
ML,GD,ML,GD,2825
GD,ML,GD,ML,2825
SA,LU,SA,LU,3839
LU,SA,LU,SA,3839
MA,FM,MA,FM,462
FM,MA,FM,MA,462
VC,SB,VC,SB,2104
SB,VC,SB,VC,2104
LR,GT,LR,GT,456
GT,LR,GT,LR,456
SZ,QA,SZ,QA,4129
QA,SZ,QA,SZ,4129
KE,BA,KE,BA,335
BA,KE,BA,KE,335
ZW,TD,ZW,TD,2026
TD,ZW,TD,ZW,2026
XK,LR,XK,LR,574
LR,XK,LR,XK,574
JO,BE,JO,BE,3998
BE,JO,BE,JO,3998
MG,BE,MG,BE,4929
BE,MG,BE,MG,4929
TW,JO,TW,JO,335
JO,TW,JO,TW,335
SV,ML,SV,ML,521
ML,SV,ML,SV,521
SE,ML,SE,ML,675
ML,SE,ML,SE,675
NE,ET,NE,ET,8750
ET,NE,ET,NE,8750
MU,KG,MU,KG,6858
KG,MU,KG,MU,6858
MW,KM,MW,KM,2656
KM,MW,KM,MW,2656
LY,GE,LY,GE,338
GE,LY,GE,LY,338
TW,IQ,TW,IQ,137
IQ,TW,IQ,TW,137
ML,AL,ML,AL,520
AL,ML,AL,ML,520
UG,NP,UG,NP,1144
NP,UG,NP,UG,1144
LS,FI,LS,FI,116
FI,LS,FI,LS,116
SE,LT,SE,LT,31147
LT,SE,LT,SE,31147
BR,AM,BR,AM,443
AM,BR,AM,BR,443
MX,BT,MX,BT,77
BT,MX,BT,MX,77
MW,BN,MW,BN,351
BN,MW,BN,MW,351
PG,NA,PG,NA,1255
NA,PG,NA,PG,1255
MN,HT,MN,HT,46
HT,MN,HT,MN,46
SZ,CY,SZ,CY,10486
CY,SZ,CY,SZ,10486
UZ,TL,UZ,TL,304
TL,UZ,TL,UZ,304
MT,HN,MT,HN,1245
HN,MT,HN,MT,1245
KH,AZ,KH,AZ,365
AZ,KH,AZ,KH,365
EE,AZ,EE,AZ,20090
AZ,EE,AZ,EE,20090
BS,AT,BS,AT,2474
AT,BS,AT,BS,2474
LA,AT,LA,AT,381
AT,LA,AT,LA,381
SG,BO,SG,BO,286
BO,SG,BO,SG,286
ZA,DO,ZA,DO,1043
DO,ZA,DO,ZA,1043
ZM,PA,ZM,PA,549
PA,ZM,PA,ZM,549
IE,BH,IE,BH,29013
BH,IE,BH,IE,29013
MZ,BG,MZ,BG,360
BG,MZ,BG,MZ,360
ZW,GN,ZW,GN,4499
GN,ZW,GN,ZW,4499
SE,GN,SE,GN,1568
GN,SE,GN,SE,1568
VN,GN,VN,GN,318
GN,VN,GN,VN,318
KR,BJ,KR,BJ,448
BJ,KR,BJ,KR,448
SZ,GH,SZ,GH,14430
GH,SZ,GH,SZ,14430
TD,ER,TD,ER,11129
ER,TD,ER,TD,11129
LT,KR,LT,KR,1215
KR,LT,KR,LT,1215
SL,RO,SL,RO,560
RO,SL,RO,SL,560
TG,GA,TG,GA,528558
GA,TG,GA,TG,528558
MY,GA,MY,GA,846
GA,MY,GA,MY,846
NL,AF,NL,AF,9839
AF,NL,AF,NL,9839
TG,NL,TG,NL,2012
NL,TG,NL,TG,2012
SD,NL,SD,NL,2730
NL,SD,NL,SD,2730
TH,NL,TH,NL,1944
NL,TH,NL,TH,1944
GN,EE,GN,EE,321
EE,GN,EE,GN,321
IL,CO,IL,CO,1994
CO,IL,CO,IL,1994
PE,PE,PE,PE,2027687
TL,FJ,TL,FJ,7228
FJ,TL,FJ,TL,7228
NI,IT,NI,IT,802
IT,NI,IT,NI,802
NO,FR,NO,FR,5478
FR,NO,FR,NO,5478
UZ,PK,UZ,PK,4928
PK,UZ,PK,UZ,4928
TZ,MT,TZ,MT,1485
MT,TZ,MT,TZ,1485
LY,BD,LY,BD,5857
BD,LY,BD,LY,5857
CL,BD,CL,BD,106
BD,CL,BD,CL,106
SN,SD,SN,SD,1480
SD,SN,SD,SN,1480
