user_country,friend_country,user_region,friend_region,scaled_sci
PT,PL,PT11,PL42,269
PL,PT,PL42,PT11,269
DE,BE,DEF0,BE21,2103
BE,DE,BE21,DEF0,2103
BG,BE,BG33,BE21,7047
BE,BG,BE21,BG33,7047
SK,PL,SK01,PL61,1066
PL,SK,PL61,SK01,1066
IT,CH,ITI3,CH02,4513
CH,IT,CH02,ITI3,4513
PL,AL,PL22,AL01,248
AL,PL,AL01,PL22,248
XK,AL,XK00,AL01,170800
AL,XK,AL01,XK00,170800
IT,IT,ITI2,ITG2,59429
IT,IT,ITG2,ITI2,59429
IT,DK,ITI1,DK03,761
DK,IT,DK03,ITI1,761
IE,GR,IE05,EL64,739
GR,IE,EL64,IE05,739
FR,GR,FRD1,EL64,342
GR,FR,EL64,FRD1,342
NL,GR,NL41,EL64,2203
GR,NL,EL64,NL41,2203
EE,DE,EE00,DE22,709
DE,EE,DE22,EE00,709
PT,NO,PT1B,NO0B,2472
NO,PT,NO0B,PT1B,2472
IT,BE,ITH2,BE31,1974
BE,IT,BE31,ITH2,1974
TR,BE,TR83,BE31,81
BE,TR,BE31,TR83,81
SE,BE,SE33,BE31,711
BE,SE,BE31,SE33,711
PL,AT,PL52,AT12,2879
AT,PL,AT12,PL52,2879
PT,ES,PT1B,ES24,3068
ES,PT,ES24,PT1B,3068
ES,CZ,ES22,CZ05,298
CZ,ES,CZ05,ES22,298
LU,FR,LU00,FRI2,4715
FR,LU,FRI2,LU00,4715
MT,IE,MT00,IE06,11577
IE,MT,IE06,MT00,11577
TR,FR,TR63,FRI1,157
FR,TR,FRI1,TR63,157
NL,BE,NL13,BE23,10537
BE,NL,BE23,NL13,10537
SK,BA,SK04,BA01,599
BA,SK,BA01,SK04,599
NO,CZ,NO0A,CZ02,809
CZ,NO,CZ02,NO0A,809
BE,BA,BE10,BA02,1120
BA,BE,BA02,BE10,1120
FR,BA,FRI1,BA02,209
BA,FR,BA02,FRI1,209
BE,BA,BE24,BA02,807
BA,BE,BA02,BE24,807
IE,DE,IE06,DE13,2404
DE,IE,DE13,IE06,2404
FI,DE,FI20,DE13,1394
DE,FI,DE13,FI20,1394
NL,AL,NL21,AL03,347
AL,NL,AL03,NL21,347
CH,AL,CH04,AL03,6940
AL,CH,AL03,CH04,6940
NL,ES,NL34,ES13,826
ES,NL,ES13,NL34,826
FR,DE,FRI3,DE26,564
DE,FR,DE26,FRI3,564
PL,BG,PL62,BG41,385
BG,PL,BG41,PL62,385
HU,BG,HU12,BG41,795
BG,HU,BG41,HU12,795
PL,CZ,PL81,CZ01,1159
CZ,PL,CZ01,PL81,1159
GR,BE,EL63,BE22,1244
BE,GR,BE22,EL63,1244
PT,BE,PT20,BE22,1042
BE,PT,BE22,PT20,1042
HU,BE,HU33,BE22,1318
BE,HU,BE22,HU33,1318
IT,GR,ITI3,EL62,5037
GR,IT,EL62,ITI3,5037
TR,SE,TR83,SE11,268
SE,TR,SE11,TR83,268
HU,DE,HU32,DEF0,1294
DE,HU,DEF0,HU32,1294
MK,DE,MK00,DEF0,11614
DE,MK,DEF0,MK00,11614
PT,PL,PT30,PL22,714
PL,PT,PL22,PT30,714
FR,DE,FRK1,DE40,587
DE,FR,DE40,FRK1,587
DE,AL,DE25,AL02,9171
AL,DE,AL02,DE25,9171
RO,IT,RO22,ITI2,17033
IT,RO,ITI2,RO22,17033
RO,FR,RO42,FRY3,140
FR,RO,FRY3,RO42,140
PL,BG,PL63,BG33,1014
