user_country,friend_country,user_region,friend_region,scaled_sci
US,US,USA.3_1,USA.20_1,2993
US,US,USA.20_1,USA.3_1,2993
US,US,PRI.13_1,PRI.11_1,587461
US,US,PRI.11_1,PRI.13_1,587461
US,US,USA.24_1,MNP.3_1,1385
US,US,MNP.3_1,USA.24_1,1385
US,US,USA.8_1,PRI.71_1,3764
US,US,PRI.71_1,USA.8_1,3764
US,US,PRI.77_1,PRI.49_1,13780030
US,US,PRI.49_1,PRI.77_1,13780030
US,US,PRI.6_1,PRI.49_1,190584
US,US,PRI.49_1,PRI.6_1,190584
US,US,PRI.60_1,PRI.58_1,302280
US,US,PRI.58_1,PRI.60_1,302280
US,US,PRI.48_1,PRI.43_1,92846367
US,US,PRI.43_1,PRI.48_1,92846367
US,US,USA.7_1,PRI.43_1,14080
US,US,PRI.43_1,USA.7_1,14080
US,US,USA.2_1,USA.17_1,5078
US,US,USA.17_1,USA.2_1,5078
US,US,USA.28_1,PRI.8_1,921
US,US,PRI.8_1,USA.28_1,921
US,US,PRI.8_1,PRI.62_1,311708
US,US,PRI.62_1,PRI.8_1,311708
US,US,VIR.1_1,GUM.9_1,3073
US,US,GUM.9_1,VIR.1_1,3073
US,US,PRI.76_1,PRI.4_1,294270
US,US,PRI.4_1,PRI.76_1,294270
US,US,USA.17_1,ASM.1_1,2755
US,US,ASM.1_1,USA.17_1,2755
US,US,USA.20_1,PRI.7_1,564
US,US,PRI.7_1,USA.20_1,564
US,US,PRI.38_1,ASM.4_1,64
US,US,ASM.4_1,PRI.38_1,64
US,US,PRI.55_1,PRI.50_1,280025
US,US,PRI.50_1,PRI.55_1,280025
US,US,PRI.27_1,PRI.10_1,263376
US,US,PRI.10_1,PRI.27_1,263376
US,US,PRI.76_1,PRI.34_1,213974
US,US,PRI.34_1,PRI.76_1,213974
US,US,PRI.47_1,PRI.44_1,311837
US,US,PRI.44_1,PRI.47_1,311837
US,US,PRI.78_1,MHL.13_1,1
US,US,MHL.13_1,PRI.78_1,1
US,US,PRI.51_1,MHL.13_1,53
US,US,MHL.13_1,PRI.51_1,53
US,US,USA.51_1,PRI.56_1,311
US,US,PRI.56_1,USA.51_1,311
US,US,USA.22_1,PRI.56_1,15336
US,US,PRI.56_1,USA.22_1,15336
US,US,PRI.41_1,PRI.26_1,299112
US,US,PRI.26_1,PRI.41_1,299112
US,US,USA.25_1,PRI.28_1,790
US,US,PRI.28_1,USA.25_1,790
US,US,USA.40_1,PRI.72_1,4482
US,US,PRI.72_1,USA.40_1,4482
US,US,PRI.74_1,PRI.30_1,240417
US,US,PRI.30_1,PRI.74_1,240417
US,US,PRI.33_1,MNP.3_1,109
US,US,MNP.3_1,PRI.33_1,109
US,US,USA.3_1,PRI.6_1,1182
US,US,PRI.6_1,USA.3_1,1182
US,US,USA.48_1,PRI.55_1,698
US,US,PRI.55_1,USA.48_1,698
US,US,USA.9_1,GUM.7_1,4684
US,US,GUM.7_1,USA.9_1,4684
US,US,USA.33_1,GUM.7_1,1272
US,US,GUM.7_1,USA.33_1,1272
US,US,PRI.28_1,GUM.7_1,716
US,US,GUM.7_1,PRI.28_1,716
US,US,USA.20_1,PRI.62_1,851
US,US,PRI.62_1,USA.20_1,851
US,US,PRI.5_1,PRI.32_1,619654
US,US,PRI.32_1,PRI.5_1,619654
US,US,USA.35_1,GUM.18_1,12850
US,US,GUM.18_1,USA.35_1,12850
US,US,USA.41_1,PRI.74_1,2015
US,US,PRI.74_1,USA.41_1,2015
US,US,PRI.75_1,PRI.21_1,292314
US,US,PRI.21_1,PRI.75_1,292314
US,US,VIR.2_1,VIR.2_1,178425442
US,US,USA.5_1,GUM.9_1,5170
US,US,GUM.9_1,USA.5_1,5170
US,US,PRI.37_1,GUM.9_1,511
US,US,GUM.9_1,PRI.37_1,511
US,US,USA.28_1,USA.24_1,8279
US,US,USA.24_1,USA.28_1,8279
US,US,PRI.62_1,PRI.23_1,222280
US,US,PRI.23_1,PRI.62_1,222280
US,US,USA.14_1,PRI.58_1,1667
US,US,PRI.58_1,USA.14_1,1667
US,US,USA.8_1,USA.12_1,3672
US,US,USA.12_1,USA.8_1,3672
US,US,USA.12_1,USA.12_1,1116696
US,US,MHL.8_1,GUM.18_1,36603
US,US,GUM.18_1,MHL.8_1,36603
US,US,PRI.10_1,GUM.18_1,570
US,US,GUM.18_1,PRI.10_1,570
US,US,PRI.53_1,PRI.33_1,1420331
US,US,PRI.33_1,PRI.53_1,1420331
